"username","start_date","end_date"
"99of9",2012-11-07,
"Almondega",2015-10-12,
"ArthurPSmith",2015-11-26,
"Ayack",2012-10-30,2016-05-01
"Ayack",2016-07-17,
"Danrok",2013-02-18,
"Emw",2012-10-31,
"Fralambert",2013-02-15,
"GZWDer",2013-03-28,
"Ivan A. Krestinin",2013-02-09,
"Izno",2016-03-18,
"Jothan Groß",2012-12-08,
"Joshbaumgartner",2013-05-09,
"Jura1",2016-02-20,
"Kolja21",2012-11-11,
"MSGJ",2015-06-10,
"Mattflaschen",2012-10-31,
"Tobias1984",2013-05-04,2015-04-01
"Tobias1984",2015-05-28,
"Yellowcard",2015-11-25,
"Micru",2013-07-25,
"Docu",2013-04-07,2013-08-04
"ChristianKl",2016-08-30,
"Jonathan Groß",2015-11-16,
"Dachary",2016-08-15,2016-12-18
"King jakob c 2",2013-08-27,
"Snipre",2013-03-01,2013-10-15
"Srittau",2016-03-24,
"SPQRobin",2013-05-04,
"Lavallen",2013-05-11,


